"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value"
"2007","European Union (current composition)","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","European Union (current composition)","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","European Union (current composition)","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","European Union (current composition)","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","European Union (current composition)","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","European Union (current composition)","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Belgium","Carbon dioxide","Total - all NACE activities","Thousand tonnes","92,194.634"
"2007","Belgium","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","8,852.42088"
"2007","Belgium","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","6,946.71967"
"2007","Belgium","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","1,765.09139"
"2007","Belgium","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes","224.05732"
"2007","Belgium","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes","78.62734"
"2007","Bulgaria","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Bulgaria","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Bulgaria","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Bulgaria","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Bulgaria","Perfluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Bulgaria","Sulphur hexafluoride and nitrogen trifluoride (CO2 equivalent) ","Total - all NACE activities","Thousand tonnes",":"
"2007","Czech Republic","Carbon dioxide","Total - all NACE activities","Thousand tonnes",":"
"2007","Czech Republic","Methane (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Czech Republic","Nitrous oxide (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
"2007","Czech Republic","Hydrofluorocarbones (CO2 equivalent)","Total - all NACE activities","Thousand tonnes",":"
