Code Région;Région;Code Département;Nom Département;Code Type Prod;Type Production;ID_type_inj;Type Injection;Tranche;Stockage Existence;Fin De Trimestre;FA_en_cours_nbr;FA_en_cours_puiss;entrée_FA_nbr;entrée_FA_puiss;sortie_FA_nbr;sortie_FA_puiss
84;Auvergne-Rhône-Alpes;1;Ain;200;Eolien;3;Autoconsommation sans injection;"a-]0;36]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;1;Ain;300;Hydraulique;1;Injection totale;"b-]36;100]";NON;2020-12-31;1;0.09;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;1;Ain;400;Bio énergie;1;Injection totale;"d-]250;...[";NON;2020-12-31;0;0.0;0;0.0;1;0.499
84;Auvergne-Rhône-Alpes;1;Ain;500;Cogénération;1;Injection totale;"d-]250;...[";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;3;Allier;100;Photovoltaïque;1;Injection totale;"b-]36;100]";NON;2020-12-31;294;27.14156;70;6.53707;39;3.66181
84;Auvergne-Rhône-Alpes;3;Allier;100;Photovoltaïque;2;Injection du surplus;"d-]250;...[";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;3;Allier;100;Photovoltaïque;3;Autoconsommation sans injection;"c-]100;250]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;3;Allier;200;Eolien;1;Injection totale;"a-]0;36]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;100;Photovoltaïque;2;Injection du surplus;"a-]0;36]";OUI;2020-12-31;2;0.0066;1;0.003;3;0.012
84;Auvergne-Rhône-Alpes;7;Ardèche;100;Photovoltaïque;3;Autoconsommation sans injection;"c-]100;250]";NON;2020-12-31;2;0.363;1;0.143;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;100;Photovoltaïque;3;Autoconsommation sans injection;"d-]250;...[";NON;2020-12-31;1;0.476;1;0.476;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;200;Eolien;1;Injection totale;"b-]36;100]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;200;Eolien;2;Injection du surplus;"a-]0;36]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;300;Hydraulique;3;Autoconsommation sans injection;"d-]250;...[";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;7;Ardèche;600;Autres;1;Injection totale;"c-]100;250]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;15;Cantal;100;Photovoltaïque;2;Injection du surplus;"a-]0;36]";NON;2020-12-31;40;0.18864;37;0.12914;23;0.08196
84;Auvergne-Rhône-Alpes;26;Drôme;100;Photovoltaïque;1;Injection totale;"b-]36;100]";NON;2020-12-31;246;22.90351;35;3.28335;35;3.07857
84;Auvergne-Rhône-Alpes;26;Drôme;300;Hydraulique;1;Injection totale;"a-]0;36]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
84;Auvergne-Rhône-Alpes;26;Drôme;500;Cogénération;1;Injection totale;"c-]100;250]";NON;2020-12-31;0;0.0;0;0.0;0;0.0
